Time,Displacement,Force
(s),(mm),(kN)
0.0000,0.0000,0.0001
0.0200,0.0001,0.0000
0.0400,0.0004,0.0003
0.0600,0.0010,0.0023
0.0800,0.0019,0.0076
0.1000,0.0029,0.0156
0.1200,0.0037,0.0244
0.1400,0.0043,0.0320
0.1600,0.0049,0.0380
0.1800,0.0057,0.0432
0.2000,0.0066,0.0490
0.2200,0.0074,0.0556
0.2400,0.0082,0.0621
0.2600,0.0088,0.0680
0.2800,0.0094,0.0732
0.3000,0.0099,0.0773
0.3200,0.0105,0.0811
0.3400,0.0113,0.0852
0.3600,0.0121,0.0904
0.3800,0.0129,0.0962
0.4000,0.0136,0.1018
0.4200,0.0141,0.1068
0.4400,0.0146,0.1112
0.4600,0.0152,0.1152
0.4800,0.0159,0.1190
0.5000,0.0168,0.1237
0.5200,0.0176,0.1294
0.5400,0.0183,0.1352
0.5600,0.0189,0.1405
0.5800,0.0194,0.1447
0.6000,0.0199,0.1483
0.6200,0.0205,0.1517
0.6400,0.0213,0.1554
0.6600,0.0221,0.1602
0.6800,0.0229,0.1658
0.7000,0.0236,0.1714
0.7200,0.0242,0.1765
0.7400,0.0247,0.1808
0.7600,0.0252,0.1844
0.7800,0.0259,0.1879
0.8000,0.0267,0.1924
0.8200,0.0275,0.1978
0.8400,0.0282,0.2033
0.8600,0.0289,0.2084
0.8800,0.0294,0.2128
0.9000,0.0299,0.2166
0.9200,0.0305,0.2199
0.9400,0.0312,0.2234
0.9600,0.0320,0.2280
0.9800,0.0328,0.2335
1.0000,0.0335,0.2393
1.0200,0.0342,0.2447
1.0400,0.0347,0.2492
1.0600,0.0352,0.2528
1.0800,0.0358,0.2563
1.1000,0.0366,0.2603
1.1200,0.0374,0.2653
1.1400,0.0382,0.2709
1.1600,0.0388,0.2762
1.1800,0.0395,0.2810
1.2000,0.0400,0.2851
1.2200,0.0405,0.2888
1.2400,0.0412,0.2925
1.2600,0.0419,0.2968
1.2800,0.0428,0.3021
1.3000,0.0436,0.3080
1.3200,0.0442,0.3137
1.3400,0.0448,0.3187
1.3600,0.0453,0.3224
1.3800,0.0459,0.3258
1.4000,0.0466,0.3295
1.4200,0.0474,0.3345
1.4400,0.0482,0.3403
1.4600,0.0489,0.3459
1.4800,0.0496,0.3511
1.5000,0.0501,0.3555
1.5200,0.0506,0.3593
1.5400,0.0512,0.3630
1.5600,0.0520,0.3672
1.5800,0.0528,0.3723
1.6000,0.0536,0.3780
1.6200,0.0543,0.3839
1.6400,0.0549,0.3892
1.6600,0.0553,0.3933
1.6800,0.0559,0.3966
1.7000,0.0566,0.4003
