Time,Displacement,Force
(s),(mm),(kN)
0.000,0.000,0.000
0.020,0.000,0.000
0.040,0.000,0.000
0.060,0.001,0.001
0.080,0.002,0.004
0.100,0.003,0.008
0.120,0.004,0.013
0.140,0.005,0.017
0.160,0.005,0.021
0.180,0.006,0.024
0.200,0.007,0.026
0.220,0.007,0.029
0.240,0.008,0.033
0.260,0.009,0.037
0.280,0.010,0.040
0.300,0.010,0.044
0.320,0.011,0.047
0.340,0.011,0.050
0.360,0.012,0.053
0.380,0.013,0.057
0.400,0.014,0.062
0.420,0.014,0.066
0.440,0.015,0.071
0.460,0.015,0.075
0.480,0.016,0.078
0.500,0.017,0.081
0.520,0.017,0.085
0.540,0.018,0.089
0.560,0.019,0.094
0.580,0.020,0.098
0.600,0.020,0.102
0.620,0.021,0.106
0.640,0.021,0.109
0.660,0.022,0.112
0.680,0.023,0.116
0.700,0.024,0.120
0.720,0.024,0.125
0.740,0.025,0.130
0.760,0.025,0.135
0.780,0.026,0.138
0.800,0.027,0.141
0.820,0.027,0.145
0.840,0.028,0.150
0.860,0.029,0.155
0.880,0.030,0.160
0.900,0.030,0.165
0.920,0.031,0.169
0.940,0.031,0.172
0.960,0.032,0.176
0.980,0.033,0.180
1.000,0.034,0.185
1.020,0.034,0.190
1.040,0.035,0.196
1.060,0.036,0.201
1.080,0.036,0.205
1.100,0.037,0.208
1.120,0.037,0.212
1.140,0.038,0.217
1.160,0.039,0.222
1.180,0.040,0.228
1.200,0.040,0.233
1.220,0.041,0.238
1.240,0.041,0.241
1.260,0.042,0.245
1.280,0.043,0.249
1.300,0.043,0.254
1.320,0.044,0.260
1.340,0.045,0.266
1.360,0.046,0.271
1.380,0.046,0.276
1.400,0.047,0.280
1.420,0.047,0.284
1.440,0.048,0.289
1.460,0.049,0.294
1.480,0.050,0.300
1.500,0.050,0.306
1.520,0.051,0.311
1.540,0.051,0.315
1.560,0.052,0.319
1.580,0.053,0.323
1.600,0.053,0.328
1.620,0.054,0.334
1.640,0.055,0.341
1.660,0.056,0.347
1.680,0.056,0.352
1.700,0.057,0.356
1.720,0.057,0.360
1.740,0.058,0.365
1.760,0.059,0.370
1.780,0.060,0.377
1.800,0.060,0.384
1.820,0.061,0.390
1.840,0.061,0.395
1.860,0.062,0.399
1.880,0.063,0.403
1.900,0.063,0.408
