Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0.0000,0.0000,0.0060,0.0000
0.0200,0.0001,0.0058,0.0000
0.0400,0.0002,0.0057,-0.0001
0.0600,0.0004,0.0064,0.0000
0.0800,0.0006,0.0081,0.0001
0.1000,0.0010,0.0103,0.0002
0.1200,0.0014,0.0136,0.0003
0.1400,0.0020,0.0177,0.0004
0.1600,0.0024,0.0222,0.0005
0.1800,0.0028,0.0264,0.0007
0.2000,0.0032,0.0302,0.0008
0.2200,0.0035,0.0338,0.0010
0.2400,0.0038,0.0370,0.0011
0.2600,0.0041,0.0398,0.0012
0.2800,0.0044,0.0425,0.0013
0.3000,0.0047,0.0451,0.0014
0.3200,0.0050,0.0476,0.0015
0.3400,0.0054,0.0501,0.0016
0.3600,0.0058,0.0531,0.0018
0.3800,0.0062,0.0568,0.0019
0.4000,0.0067,0.0609,0.0020
0.4200,0.0071,0.0650,0.0022
0.4400,0.0075,0.0687,0.0024
0.4600,0.0078,0.0723,0.0024
0.4800,0.0081,0.0755,0.0026
0.5000,0.0084,0.0782,0.0027
0.5200,0.0087,0.0809,0.0028
0.5400,0.0089,0.0832,0.0029
0.5600,0.0092,0.0853,0.0029
0.5800,0.0095,0.0876,0.0031
0.6000,0.0098,0.0900,0.0032
0.6200,0.0101,0.0925,0.0032
0.6400,0.0104,0.0951,0.0033
0.6600,0.0109,0.0981,0.0034
0.6800,0.0113,0.1014,0.0035
0.7000,0.0117,0.1052,0.0037
0.7200,0.0121,0.1090,0.0038
0.7400,0.0125,0.1126,0.0040
0.7600,0.0128,0.1156,0.0040
0.7800,0.0131,0.1183,0.0041
0.8000,0.0134,0.1211,0.0042
0.8200,0.0137,0.1235,0.0043
0.8400,0.0140,0.1260,0.0044
0.8600,0.0142,0.1285,0.0045
0.8800,0.0145,0.1309,0.0046
0.9000,0.0148,0.1334,0.0047
0.9200,0.0151,0.1357,0.0048
0.9400,0.0154,0.1382,0.0049
0.9600,0.0158,0.1409,0.0050
0.9800,0.0162,0.1442,0.0051
1.0000,0.0167,0.1480,0.0052
1.0200,0.0171,0.1520,0.0054
1.0400,0.0176,0.1557,0.0055
1.0600,0.0179,0.1591,0.0056
1.0800,0.0182,0.1620,0.0057
1.1000,0.0185,0.1645,0.0058
1.1200,0.0187,0.1668,0.0059
1.1400,0.0190,0.1688,0.0060
1.1600,0.0193,0.1709,0.0061
1.1800,0.0195,0.1731,0.0062
1.2000,0.0198,0.1751,0.0063
1.2200,0.0201,0.1772,0.0064
1.2400,0.0204,0.1795,0.0064
1.2600,0.0208,0.1823,0.0065
1.2800,0.0213,0.1858,0.0066
1.3000,0.0217,0.1895,0.0068
1.3200,0.0221,0.1932,0.0069
1.3400,0.0225,0.1969,0.0071
1.3600,0.0229,0.2004,0.0072
1.3800,0.0231,0.2033,0.0073
1.4000,0.0235,0.2057,0.0074
1.4200,0.0237,0.2081,0.0075
1.4400,0.0241,0.2104,0.0076
1.4600,0.0243,0.2126,0.0077
1.4800,0.0246,0.2149,0.0078
1.5000,0.0249,0.2172,0.0079
1.5200,0.0251,0.2194,0.0080
1.5400,0.0254,0.2215,0.0080
1.5600,0.0258,0.2239,0.0081
1.5800,0.0262,0.2267,0.0082
1.6000,0.0267,0.2302,0.0083
1.6200,0.0271,0.2341,0.0085
1.6400,0.0275,0.2381,0.0086
1.6600,0.0279,0.2417,0.0087
1.6800,0.0282,0.2450,0.0089
1.7000,0.0285,0.2477,0.0090
1.7200,0.0288,0.2499,0.0091
1.7400,0.0290,0.2522,0.0092
1.7600,0.0293,0.2546,0.0092
1.7800,0.0295,0.2567,0.0093
1.8000,0.0298,0.2588,0.0094
1.8200,0.0301,0.2609,0.0095
1.8400,0.0304,0.2632,0.0096
1.8600,0.0308,0.2660,0.0097
1.8800,0.0312,0.2693,0.0098
1.9000,0.0317,0.2729,0.0099
1.9200,0.0321,0.2768,0.0100
1.9400,0.0325,0.2807,0.0102
1.9600,0.0329,0.2843,0.0103
1.9800,0.0332,0.2876,0.0104
2.0000,0.0335,0.2905,0.0105
2.0200,0.0338,0.2929,0.0107
2.0400,0.0341,0.2954,0.0107
2.0600,0.0344,0.2977,0.0109
2.0800,0.0347,0.3002,0.0110
2.1000,0.0349,0.3024,0.0110
2.1200,0.0352,0.3047,0.0111
2.1400,0.0355,0.3070,0.0112
2.1600,0.0358,0.3094,0.0113
2.1800,0.0362,0.3122,0.0114
2.2000,0.0366,0.3157,0.0115
2.2200,0.0371,0.3195,0.0116
2.2400,0.0375,0.3237,0.0118
2.2600,0.0379,0.3278,0.0120
2.2800,0.0382,0.3313,0.0121
2.3000,0.0385,0.3342,0.0122
2.3200,0.0388,0.3369,0.0122
2.3400,0.0391,0.3395,0.0123
2.3600,0.0394,0.3420,0.0124
2.3800,0.0396,0.3443,0.0125
2.4000,0.0399,0.3464,0.0127
2.4200,0.0401,0.3485,0.0127
2.4400,0.0404,0.3507,0.0128
2.4600,0.0408,0.3532,0.0129
2.4800,0.0411,0.3561,0.0130
2.5000,0.0416,0.3598,0.0131
2.5200,0.0421,0.3637,0.0132
2.5400,0.0425,0.3677,0.0134
2.5600,0.0429,0.3719,0.0135
2.5800,0.0432,0.3755,0.0137
2.6000,0.0436,0.3787,0.0138
2.6200,0.0439,0.3815,0.0139
2.6400,0.0441,0.3843,0.0140
2.6600,0.0444,0.3869,0.0140
2.6800,0.0447,0.3895,0.0142
2.7000,0.0449,0.3918,0.0143
2.7200,0.0452,0.3940,0.0144
2.7400,0.0455,0.3960,0.0144
2.7600,0.0457,0.3982,0.0145
2.7800,0.0461,0.4008,0.0146
2.8000,0.0465,0.4036,0.0147
2.8200,0.0469,0.4070,0.0148
2.8400,0.0474,0.4109,0.0150
2.8600,0.0478,0.4149,0.0151
