Specimen properties : Specimen label,Nylon 6,
Specimen text inputs : Specimen Name,Nylon 6,
Specimen properties : Length,100,mm
Specimen properties : Thickness,3,mm
Specimen properties : Width,10,mm
Test : Rate 1,20,mm/min
,,
Time,Displacement,Force
(s),(mm),(N)
0,0.0001,0.1737
0.02,0.0006,0.2193
0.04,0.0031,0.3041
0.06,0.0102,0.9836
0.08,0.019,2.8369
0.1,0.0281,5.6133
0.12,0.037,8.6986
0.14,0.045,11.6364
0.16,0.0528,14.2526
0.18,0.0601,16.5929
0.2,0.0669,18.752
0.22,0.0739,20.7976
0.24,0.0805,22.8306
0.26,0.0871,24.7885
0.28,0.0939,26.6903
0.3,0.1007,28.6266
0.32,0.1074,30.5895
0.34,0.114,32.4757
0.36,0.1209,34.3804
0.38,0.1275,36.282
0.4,0.1339,38.1538
0.42,0.1404,39.955
0.44,0.147,41.7323
0.46,0.1534,43.5269
0.48,0.16,45.3108
0.5,0.1668,47.1466
0.52,0.1735,49.0383
0.54,0.1803,50.9264
0.56,0.1872,52.7672
0.58,0.1941,54.6381
0.6,0.2005,56.5082
0.62,0.2072,58.2588
0.64,0.2139,60.0271
0.66,0.2206,61.8394
0.68,0.2274,63.6315
0.7,0.2342,65.4188
0.72,0.2408,67.2705
0.74,0.2474,69.0827
0.76,0.2541,70.8108
0.78,0.2604,72.535
0.8,0.2668,74.2078
0.82,0.2734,75.8685
0.84,0.2801,77.6069
0.86,0.2868,79.3949
0.88,0.2935,81.1659
0.9,0.3005,82.9224
0.92,0.3073,84.714
0.94,0.314,86.502
0.96,0.3209,88.2849
0.98,0.3276,90.0555
1,0.334,91.7974
1.02,0.3407,93.474
1.04,0.3477,95.1774
1.06,0.3543,96.9421
1.08,0.3607,98.6502
1.1,0.3675,100.3172
1.12,0.374,102.0353
1.14,0.3804,103.7254
1.16,0.387,105.3186
1.18,0.3935,106.9587
1.2,0.4001,108.6063
1.22,0.4067,110.2495
1.24,0.4137,111.9641
1.26,0.4204,113.6985
1.28,0.4272,115.4142
1.3,0.4343,117.1565
1.32,0.4411,118.941
1.34,0.4475,120.6525
1.36,0.4542,122.2655
1.38,0.461,123.8889
1.4,0.4676,125.5655
1.42,0.4742,127.2381
1.44,0.481,128.9099
1.46,0.4877,130.5978
1.48,0.4942,132.2464
1.5,0.5009,133.8571
1.52,0.5074,135.4903
1.54,0.5137,137.0829
1.56,0.5203,138.6307
1.58,0.5271,140.2267
1.6,0.5337,141.8911
1.62,0.5403,143.5568
1.64,0.5474,145.2184
1.66,0.5542,146.9162
1.68,0.5609,148.6145
1.7,0.5677,150.3015
1.72,0.5745,151.9747
1.74,0.581,153.6295
1.76,0.5876,155.2007
1.78,0.5944,156.7793
1.8,0.6008,158.3942
1.82,0.6072,159.9509
1.84,0.6139,161.5089
1.86,0.6205,163.1101
1.88,0.627,164.7115
1.9,0.6337,166.2904
1.92,0.6405,167.8986
1.94,0.6471,169.5063
1.96,0.6538,171.0874
1.98,0.6608,172.6838
2,0.6674,174.3402
2.02,0.6739,175.9458
2.04,0.6808,177.526
2.06,0.6876,179.1612
2.08,0.6943,180.7809
2.1,0.701,182.3626
2.12,0.7075,183.9276
2.14,0.714,185.4708
2.16,0.7205,187.0064
2.18,0.7273,188.517
2.2,0.7338,190.0694
2.22,0.7403,191.6064
2.24,0.7471,193.1289
2.26,0.7538,194.6956
2.28,0.7603,196.2903
2.3,0.767,197.8392
2.32,0.7739,199.3698
2.34,0.7805,200.9211
2.36,0.7871,202.476
2.38,0.794,204.051
2.4,0.8008,205.6688
2.42,0.8076,207.2466
2.44,0.8145,208.8033
2.46,0.8212,210.3975
2.48,0.8277,211.9734
2.5,0.8341,213.4525
2.52,0.8408,214.9018
2.54,0.8472,216.3907
2.56,0.8537,217.8655
2.58,0.8603,219.312
2.6,0.8669,220.7898
2.62,0.8736,222.2906
2.64,0.8803,223.8128
2.66,0.8873,225.3687
2.68,0.8939,226.9425
2.7,0.9005,228.4472
2.72,0.9075,229.9392
2.74,0.9141,231.4531
2.76,0.9206,232.9662
2.78,0.9274,234.4746
2.8,0.9344,236.0001
2.82,0.941,237.5448
2.84,0.9476,239.0181
2.86,0.9542,240.4708
2.88,0.9607,241.9217
2.9,0.9671,243.3567
2.92,0.9738,244.7452
2.94,0.9803,246.1969
2.96,0.9868,247.6465
2.98,0.9937,249.0824
3,1.0005,250.5499
3.02,1.0071,252.0444
3.04,1.0139,253.5216
3.06,1.0207,255.0206
3.08,1.0273,256.5347
3.1,1.0339,257.9926
3.12,1.0407,259.417
3.14,1.0475,260.8626
3.16,1.0542,262.3596
3.18,1.0612,263.8521
3.2,1.0678,265.3745
3.22,1.0742,266.8395
3.24,1.0806,268.1895
3.26,1.0873,269.5319
3.28,1.0937,270.9122
3.3,1.0999,272.2845
3.32,1.1068,273.6003
3.34,1.1137,275.0015
3.36,1.1205,276.5047
3.38,1.1273,277.9866
3.4,1.1342,279.4684
3.42,1.1407,280.943
3.44,1.1471,282.3528
3.46,1.1541,283.7239
3.48,1.1607,285.1094
3.5,1.1673,286.5181
3.52,1.1744,287.9571
3.54,1.1813,289.4386
3.56,1.1878,290.9294
3.58,1.1942,292.2993
3.6,1.2009,293.6337
3.62,1.2072,294.9563
3.64,1.2135,296.2736
3.66,1.2201,297.5696
3.68,1.2268,298.9183
3.7,1.2334,300.3102
3.72,1.2403,301.6959
3.74,1.2473,303.1014
3.76,1.254,304.554
3.78,1.2607,305.9884
3.8,1.2677,307.3912
3.82,1.2742,308.8105
3.84,1.2807,310.1782
3.86,1.2875,311.5142
3.88,1.2942,312.8592
3.9,1.3007,314.2258
3.92,1.3073,315.5332
3.94,1.3141,316.8648
3.96,1.3206,318.2315
3.98,1.3271,319.5558
4,1.3338,320.8469
4.02,1.3403,322.1679
4.04,1.3467,323.4407
4.06,1.3534,324.6953
4.08,1.3602,326.0074
4.1,1.3672,327.3898
4.12,1.3742,328.7891
4.14,1.3811,330.2206
4.16,1.3877,331.6502
4.18,1.3942,332.9922
4.2,1.401,334.2661
4.22,1.4076,335.5598
4.24,1.4141,336.8545
4.26,1.4208,338.1162
4.28,1.4275,339.4202
4.3,1.4341,340.7497
4.32,1.4406,342.0646
4.34,1.4474,343.3435
4.36,1.4537,344.6114
4.38,1.4601,345.8162
4.4,1.467,347.0194
4.42,1.4737,348.3054
4.44,1.4803,349.6283
4.46,1.4873,350.9686
4.48,1.4943,352.3147
4.5,1.501,353.7057
4.52,1.5075,355.0193
4.54,1.5143,356.2608
4.56,1.521,357.534
4.58,1.5274,358.8184
4.6,1.5342,360.0429
4.62,1.5409,361.3028
4.64,1.5472,362.5709
4.66,1.5538,363.7797
4.68,1.5606,364.9935
4.7,1.5671,366.2649
4.72,1.5736,367.4949
4.74,1.5803,368.6942
4.76,1.5869,369.9307
4.78,1.5934,371.1605
4.8,1.6004,372.3867
4.82,1.6073,373.6854
4.84,1.6141,375.0197
4.86,1.6208,376.3149
4.88,1.6277,377.5724
4.9,1.6342,378.8343
4.92,1.6409,380.0299
4.94,1.6477,381.214
4.96,1.6543,382.462
4.98,1.6608,383.7158
5,1.6673,384.8995
5.02,1.6739,386.0668
5.04,1.6805,387.2645
5.06,1.687,388.4368
5.08,1.6939,389.6455
5.1,1.7004,390.8657
5.12,1.7067,392.0363
5.14,1.7137,393.1889
5.16,1.7207,394.3902
5.18,1.7273,395.6584
5.2,1.734,396.8816
5.22,1.741,398.0827
5.24,1.7476,399.3304
5.26,1.7542,400.5394
5.28,1.761,401.7191
5.3,1.7676,402.9355
5.32,1.7739,404.1047
5.34,1.7805,405.1833
5.36,1.7871,406.3062
5.38,1.7936,407.4746
5.4,1.8002,408.6142
5.42,1.8072,409.7644
5.44,1.8139,410.9835
5.46,1.8203,412.1836
5.48,1.827,413.2897
5.5,1.8338,414.4081
5.52,1.8405,415.5727
5.54,1.8472,416.7769
5.56,1.8543,417.9868
5.58,1.8609,419.1886
5.6,1.8675,420.3387
5.62,1.8745,421.477
5.64,1.8811,422.6531
5.66,1.8875,423.8046
5.68,1.8941,424.8621
5.7,1.9006,425.9407
5.72,1.9071,427.0541
5.74,1.9137,428.1269
5.76,1.9205,429.2106
5.78,1.9271,430.3648
5.8,1.9336,431.5048
5.82,1.9404,432.6068
5.84,1.9471,433.7265
5.86,1.9536,434.8407
5.88,1.9605,435.9529
5.9,1.9675,437.0986
5.92,1.9741,438.2708
5.94,1.9809,439.4059
5.96,1.9878,440.5307
5.98,1.9945,441.6902
6,2.001,442.8194
6.02,2.0078,443.8729
6.04,2.0143,444.9529
6.06,2.0206,446.019
6.08,2.0272,447.0545
6.1,2.034,448.0857
6.12,2.0402,449.1406
6.14,2.0467,450.1463
6.16,2.0537,451.148
6.18,2.0604,452.2581
6.2,2.067,453.3908
6.22,2.0739,454.4471
6.24,2.0807,455.5461
6.26,2.0871,456.6391
6.28,2.0938,457.6766
6.3,2.1007,458.7125
6.32,2.1075,459.792
6.34,2.1143,460.8991
6.36,2.1213,462.0045
6.38,2.1278,463.1126
6.4,2.1341,464.1463
6.42,2.1406,465.1062
6.44,2.1472,466.0822
6.46,2.1537,467.1051
6.48,2.1601,468.0891
6.5,2.1669,469.067
6.52,2.1736,470.1007
6.54,2.1802,471.1242
6.56,2.1872,472.1721
6.58,2.1941,473.2729
6.6,2.2006,474.3514
6.62,2.2073,475.3648
6.64,2.2141,476.364
6.66,2.2207,477.4191
6.68,2.2275,478.4308
6.7,2.2344,479.4594
6.72,2.2412,480.5204
6.74,2.2478,481.5819
6.76,2.2545,482.5674
6.78,2.261,483.5668
6.8,2.2671,484.5305
6.82,2.2735,485.4103
6.84,2.2802,486.2969
6.86,2.2867,487.249
6.88,2.2933,488.2102
6.9,2.3004,489.1881
6.92,2.3075,490.244
6.94,2.3142,491.3454
6.96,2.321,492.3913
6.98,2.3276,493.3951
7,2.3341,494.3451
7.02,2.3407,495.2616
7.04,2.3475,496.195
7.06,2.3543,497.1828
7.08,2.3608,498.145
7.1,2.3677,499.1095
7.12,2.3742,500.0879
7.14,2.3806,501.044
7.16,2.3871,501.935
7.18,2.3937,502.8127
7.2,2.4002,503.6953
7.22,2.4068,504.5869
7.24,2.4138,505.5208
7.26,2.4205,506.5033
7.28,2.4271,507.4993
7.3,2.4342,508.4745
7.32,2.441,509.4568
7.34,2.4475,510.4583
7.36,2.454,511.3669
7.38,2.4609,512.2521
7.4,2.4676,513.1922
7.42,2.4742,514.1382
7.44,2.4811,515.0382
7.46,2.4875,515.9555
7.48,2.4939,516.8566
7.5,2.5007,517.7056
7.52,2.5073,518.5875
7.54,2.5136,519.4999
7.56,2.52,520.3331
7.58,2.527,521.1733
7.6,2.5336,522.0851
7.62,2.5402,522.9742
