Specimen properties : Specimen label,PMMA,
Specimen text inputs : Specimen Name,PMMA,
Specimen properties : Length,100,mm
Specimen properties : Thickness,3,mm
Specimen properties : Width,10,mm
Test : Rate 1,2,mm/min
,,
Time,Displacement,Force
(s),(mm),(N)
0,0,-1.0713
0.02,0.0001,-1.0615
0.04,0.0001,-1.0912
0.06,0.0001,-1.1146
0.08,0.0002,-1.1333
0.1,0.0002,-1.1268
0.12,0.0004,-1.0957
0.14,0.0005,-1.0649
0.16,0.0006,-1.0727
0.18,0.0009,-1.0503
0.2,0.0019,-0.8702
0.22,0.0034,-0.2554
0.24,0.0051,0.9195
0.26,0.0067,2.3885
0.28,0.008,3.8043
0.3,0.0092,5.0002
0.32,0.0102,5.9552
0.34,0.011,6.7522
0.36,0.0118,7.4936
0.38,0.0126,8.1549
0.4,0.0133,8.7216
0.42,0.0139,9.2494
0.44,0.0145,9.7357
0.46,0.0152,10.2223
0.48,0.0157,10.6899
0.5,0.0164,11.1339
0.52,0.0171,11.6241
0.54,0.0179,12.1601
0.56,0.0187,12.7202
0.58,0.0192,13.2513
0.6,0.0198,13.7354
0.62,0.0205,14.1931
0.64,0.0212,14.695
0.66,0.022,15.276
0.68,0.0227,15.8834
0.7,0.0234,16.4263
0.72,0.0242,16.9166
0.74,0.0248,17.4603
0.76,0.0255,18.0397
0.78,0.0262,18.6135
0.8,0.0268,19.1056
0.82,0.0274,19.5591
0.84,0.0281,19.9694
0.86,0.0287,20.4352
0.88,0.0293,20.9452
0.9,0.0299,21.4341
0.92,0.0306,21.8881
0.94,0.0312,22.3105
0.96,0.0318,22.7319
0.98,0.0325,23.1723
1,0.0332,23.6841
1.02,0.0339,24.2669
1.04,0.0347,24.8488
1.06,0.0354,25.4091
1.08,0.036,25.9468
1.1,0.0367,26.4597
1.12,0.0373,26.9462
1.14,0.0379,27.3977
1.16,0.0385,27.8111
1.18,0.0392,28.2259
1.2,0.0399,28.7417
1.22,0.0407,29.3176
1.24,0.0413,29.8952
1.26,0.0419,30.4032
1.28,0.0426,30.8578
1.3,0.0432,31.3041
1.32,0.044,31.7844
1.34,0.0447,32.3163
1.36,0.0455,32.8915
1.38,0.0462,33.4367
1.4,0.0469,33.9452
1.42,0.0476,34.4644
1.44,0.0483,35.0226
1.46,0.0489,35.5514
1.48,0.0496,35.9869
1.5,0.0502,36.4106
1.52,0.0509,36.8921
1.54,0.0515,37.3938
1.56,0.0522,37.8814
1.58,0.0528,38.3501
1.6,0.0535,38.8041
1.62,0.0541,39.2757
1.64,0.0547,39.7423
1.66,0.0554,40.2097
1.68,0.0561,40.6655
1.7,0.0568,41.1348
1.72,0.0575,41.6316
1.74,0.0581,42.1423
1.76,0.0588,42.6833
1.78,0.0594,43.1774
1.8,0.06,43.6266
1.82,0.0606,44.0381
1.84,0.0612,44.4331
1.86,0.0619,44.8408
1.88,0.0626,45.3429
1.9,0.0633,45.9185
1.92,0.064,46.4726
1.94,0.0646,46.9329
1.96,0.0653,47.3126
1.98,0.066,47.7832
2,0.0667,48.3493
2.02,0.0675,48.9396
2.04,0.0682,49.5005
2.06,0.0689,50.008
2.08,0.0695,50.4499
2.1,0.0702,50.9319
2.12,0.071,51.4877
2.14,0.0715,52.0143
2.16,0.0722,52.4786
2.18,0.0728,52.8475
2.2,0.0734,53.2374
2.22,0.0741,53.6732
2.24,0.0747,54.1927
2.26,0.0753,54.6762
2.28,0.076,55.1209
2.3,0.0766,55.5282
2.32,0.0772,55.9324
2.34,0.0779,56.3786
2.36,0.0786,56.8771
2.38,0.0793,57.4007
2.4,0.08,57.9152
2.42,0.0807,58.444
2.44,0.0813,58.9372
2.46,0.0819,59.4056
2.48,0.0826,59.8616
2.5,0.0832,60.2968
2.52,0.0839,60.7282
2.54,0.0845,61.1792
2.56,0.0852,61.6583
2.58,0.0859,62.156
2.6,0.0865,62.6713
2.62,0.0872,63.1853
2.64,0.088,63.6328
2.66,0.0887,64.0779
2.68,0.0895,64.5813
2.7,0.0903,65.1377
2.72,0.091,65.7048
2.74,0.0917,66.284
2.76,0.0924,66.8325
2.78,0.093,67.3417
2.8,0.0937,67.8191
2.82,0.0943,68.2371
2.84,0.0949,68.6554
2.86,0.0955,69.059
2.88,0.0962,69.5076
2.9,0.0968,69.9801
2.92,0.0974,70.4332
2.94,0.0981,70.8219
2.96,0.0986,71.2147
2.98,0.0993,71.6358
3,0.1,72.0583
3.02,0.1006,72.5066
3.04,0.1013,72.9695
3.06,0.102,73.5051
3.08,0.1027,74.0474
3.1,0.1033,74.52
3.12,0.104,74.8985
3.14,0.1046,75.2601
3.16,0.1052,75.7358
3.18,0.1058,76.2645
3.2,0.1066,76.7428
3.22,0.1073,77.1333
3.24,0.108,77.5333
3.26,0.1087,78.0288
3.28,0.1094,78.6839
3.3,0.11,79.3111
3.32,0.1107,79.7438
3.34,0.1114,80.0359
3.36,0.1122,80.4224
3.38,0.113,81.0192
3.4,0.1137,81.7416
3.42,0.1144,82.3341
3.44,0.115,82.7105
3.46,0.1157,83.0394
3.48,0.1163,83.466
3.5,0.1169,83.9797
3.52,0.1175,84.4884
3.54,0.1181,84.905
3.56,0.1188,85.2481
3.58,0.1194,85.6118
3.6,0.1201,86.0623
3.62,0.1207,86.5873
3.64,0.1212,87.0641
3.66,0.122,87.4585
3.68,0.1225,87.8189
3.7,0.1231,88.2357
3.72,0.1238,88.7035
3.74,0.1245,89.1797
3.76,0.1253,89.7199
3.78,0.126,90.2334
3.8,0.1267,90.7198
3.82,0.1273,91.1512
3.84,0.1279,91.5688
3.86,0.1284,91.957
3.88,0.1292,92.3827
3.9,0.1297,92.8411
3.92,0.1305,93.2829
3.94,0.1313,93.7436
3.96,0.1319,94.2579
3.98,0.1326,94.7736
4,0.1332,95.2531
4.02,0.1339,95.7175
4.04,0.1347,96.1777
4.06,0.1354,96.6833
4.08,0.1362,97.2454
4.1,0.1369,97.8316
4.12,0.1377,98.3646
4.14,0.1382,98.8382
4.16,0.139,99.2725
4.18,0.1395,99.7085
4.2,0.1401,100.1474
4.22,0.1407,100.5744
4.24,0.1414,100.966
4.26,0.142,101.3723
4.28,0.1426,101.7961
4.3,0.1432,102.2102
4.32,0.1439,102.6301
4.34,0.1445,103.0314
4.36,0.1452,103.4803
4.38,0.1458,103.9598
4.4,0.1465,104.4252
4.42,0.1472,104.9066
4.44,0.1479,105.3954
4.46,0.1486,105.8693
4.48,0.1492,106.3356
4.5,0.1499,106.7623
4.52,0.1505,107.1916
4.54,0.1511,107.6107
4.56,0.1518,108.0268
4.58,0.1525,108.4999
4.6,0.1532,109.0046
4.62,0.1539,109.5099
4.64,0.1545,109.9953
4.66,0.1552,110.4457
4.68,0.156,110.9168
4.7,0.1567,111.3964
4.72,0.1575,111.9169
4.74,0.1582,112.447
4.76,0.1589,112.9741
4.78,0.1596,113.4559
4.8,0.1603,113.9376
4.82,0.1609,114.3926
4.84,0.1616,114.836
4.86,0.1622,115.2717
4.88,0.1628,115.6746
4.9,0.1634,116.065
4.92,0.1641,116.4811
4.94,0.1648,116.9248
4.96,0.1654,117.4014
4.98,0.166,117.8403
5,0.1667,118.2484
5.02,0.1673,118.6463
5.04,0.168,119.0935
5.06,0.1686,119.5856
5.08,0.1693,120.0641
5.1,0.17,120.5255
5.12,0.1707,120.9928
5.14,0.1713,121.4471
5.16,0.1719,121.8921
5.18,0.1726,122.3058
5.2,0.1732,122.7249
5.22,0.1739,123.1404
5.24,0.1746,123.5932
5.26,0.1752,124.0609
5.28,0.176,124.5507
5.3,0.1767,125.0692
5.32,0.1773,125.5485
5.34,0.1779,125.9569
5.36,0.1786,126.3659
5.38,0.1793,126.8051
5.4,0.1802,127.3108
5.42,0.1809,127.8412
5.44,0.1816,128.3728
5.46,0.1823,128.89
5.48,0.183,129.3875
5.5,0.1837,129.8522
5.52,0.1843,130.2922
5.54,0.1849,130.724
5.56,0.1855,131.1344
5.58,0.1862,131.5395
5.6,0.1868,131.9254
5.62,0.1875,132.3526
5.64,0.1881,132.7813
5.66,0.1887,133.2185
5.68,0.1892,133.6361
5.7,0.19,134.0126
5.72,0.1905,134.4058
5.74,0.1912,134.8405
5.76,0.192,135.3094
5.78,0.1925,135.8073
5.8,0.1933,136.2745
5.82,0.1938,136.6948
5.84,0.1946,137.0976
5.86,0.1951,137.5186
5.88,0.1959,137.9729
5.9,0.1964,138.423
5.92,0.1972,138.8711
5.94,0.198,139.33
5.96,0.1987,139.8407
5.98,0.1993,140.3414
6,0.1999,140.7965
6.02,0.2006,141.1945
6.04,0.2014,141.6325
6.06,0.2021,142.1616
6.08,0.2029,142.7516
6.1,0.2036,143.2904
6.12,0.2044,143.7837
6.14,0.2051,144.2817
6.16,0.2057,144.7591
6.18,0.2064,145.1795
6.2,0.207,145.5912
6.22,0.2074,145.9802
